pc1,pc2,label,model,layer,pc1_var,pc2_var
-17.296606,5.1264534,Hallucinated,apertus,4,0.15661083,0.028653715
-13.250213,10.302015,Hallucinated,apertus,4,0.15661083,0.028653715
-15.509831,3.5394142,Hallucinated,apertus,4,0.15661083,0.028653715
-6.8501415,-10.766775,Hallucinated,apertus,4,0.15661083,0.028653715
-3.5830371,8.9041395,Hallucinated,apertus,4,0.15661083,0.028653715
-18.858181,5.044608,Hallucinated,apertus,4,0.15661083,0.028653715
23.456066,-0.40474343,Hallucinated,apertus,4,0.15661083,0.028653715
-10.875435,13.758363,Hallucinated,apertus,4,0.15661083,0.028653715
-8.916722,11.386188,Hallucinated,apertus,4,0.15661083,0.028653715
-36.4962,2.4692435,Hallucinated,apertus,4,0.15661083,0.028653715
-31.633652,2.8779147,Hallucinated,apertus,4,0.15661083,0.028653715
-23.954473,-4.167343,Hallucinated,apertus,4,0.15661083,0.028653715
-12.870246,8.185235,Hallucinated,apertus,4,0.15661083,0.028653715
-5.129877,12.518099,Hallucinated,apertus,4,0.15661083,0.028653715
15.381281,9.904385,Hallucinated,apertus,4,0.15661083,0.028653715
13.1247635,5.823578,Hallucinated,apertus,4,0.15661083,0.028653715
7.599336,-7.6201363,Hallucinated,apertus,4,0.15661083,0.028653715
1.6429672,11.030165,Hallucinated,apertus,4,0.15661083,0.028653715
5.0873113,-2.4860365,Hallucinated,apertus,4,0.15661083,0.028653715
11.725213,6.0016823,Hallucinated,apertus,4,0.15661083,0.028653715
-0.62558633,6.6956496,Hallucinated,apertus,4,0.15661083,0.028653715
-4.553441,2.670755,Hallucinated,apertus,4,0.15661083,0.028653715
43.192596,7.9973187,Hallucinated,apertus,4,0.15661083,0.028653715
8.762349,10.060221,Hallucinated,apertus,4,0.15661083,0.028653715
-20.723791,-12.014464,Hallucinated,apertus,4,0.15661083,0.028653715
-6.7119923,3.8413677,Hallucinated,apertus,4,0.15661083,0.028653715
5.6205916,5.2742915,Hallucinated,apertus,4,0.15661083,0.028653715
-18.047491,-1.2185717,Hallucinated,apertus,4,0.15661083,0.028653715
-4.3468914,4.0805273,Hallucinated,apertus,4,0.15661083,0.028653715
-12.45257,2.087619,Hallucinated,apertus,4,0.15661083,0.028653715
10.426492,-2.117113,Hallucinated,apertus,4,0.15661083,0.028653715
-7.445066,1.8172508,Hallucinated,apertus,4,0.15661083,0.028653715
-13.010727,6.742233,Hallucinated,apertus,4,0.15661083,0.028653715
37.028545,6.123802,Hallucinated,apertus,4,0.15661083,0.028653715
-11.682483,4.7017,Hallucinated,apertus,4,0.15661083,0.028653715
24.950405,7.0738516,Hallucinated,apertus,4,0.15661083,0.028653715
13.294072,8.667264,Hallucinated,apertus,4,0.15661083,0.028653715
0.82245123,-0.06203978,Hallucinated,apertus,4,0.15661083,0.028653715
-28.541042,9.825904,Hallucinated,apertus,4,0.15661083,0.028653715
12.518511,-5.7028213,Hallucinated,apertus,4,0.15661083,0.028653715
1.4508592,-9.1913595,Hallucinated,apertus,4,0.15661083,0.028653715
-2.006947,-5.668163,Hallucinated,apertus,4,0.15661083,0.028653715
-18.772081,-1.0143114,Hallucinated,apertus,4,0.15661083,0.028653715
13.6881895,6.201163,Hallucinated,apertus,4,0.15661083,0.028653715
2.8168218,9.364697,Hallucinated,apertus,4,0.15661083,0.028653715
-32.026493,7.9267516,Hallucinated,apertus,4,0.15661083,0.028653715
37.393898,6.181904,Hallucinated,apertus,4,0.15661083,0.028653715
-7.0183654,7.963699,Hallucinated,apertus,4,0.15661083,0.028653715
-6.560596,0.78333616,Hallucinated,apertus,4,0.15661083,0.028653715
8.077421,8.1777115,Hallucinated,apertus,4,0.15661083,0.028653715
17.173763,11.460393,Hallucinated,apertus,4,0.15661083,0.028653715
-22.434353,10.542997,Hallucinated,apertus,4,0.15661083,0.028653715
24.089733,8.996521,Hallucinated,apertus,4,0.15661083,0.028653715
6.972371,6.2722926,Hallucinated,apertus,4,0.15661083,0.028653715
12.462628,4.544816,Hallucinated,apertus,4,0.15661083,0.028653715
-27.612074,6.465742,Hallucinated,apertus,4,0.15661083,0.028653715
3.9054596,-3.553924,Hallucinated,apertus,4,0.15661083,0.028653715
0.2700951,6.636834,Hallucinated,apertus,4,0.15661083,0.028653715
-38.59942,7.65897,Hallucinated,apertus,4,0.15661083,0.028653715
-14.879047,-1.9810905,Hallucinated,apertus,4,0.15661083,0.028653715
-13.266764,7.0414605,Hallucinated,apertus,4,0.15661083,0.028653715
4.34001,4.4738083,Hallucinated,apertus,4,0.15661083,0.028653715
-3.6338272,6.763264,Hallucinated,apertus,4,0.15661083,0.028653715
-15.599938,9.463447,Hallucinated,apertus,4,0.15661083,0.028653715
-5.625892,6.461764,Hallucinated,apertus,4,0.15661083,0.028653715
21.247658,-1.3869585,Hallucinated,apertus,4,0.15661083,0.028653715
-6.9077234,-2.7867787,Hallucinated,apertus,4,0.15661083,0.028653715
23.94737,4.399174,Hallucinated,apertus,4,0.15661083,0.028653715
-9.236501,-15.255621,Hallucinated,apertus,4,0.15661083,0.028653715
13.60511,7.3127527,Hallucinated,apertus,4,0.15661083,0.028653715
-9.52971,6.136472,Hallucinated,apertus,4,0.15661083,0.028653715
-2.2533686,-2.1678495,Hallucinated,apertus,4,0.15661083,0.028653715
18.98419,8.924626,Hallucinated,apertus,4,0.15661083,0.028653715
15.569086,3.1956244,Hallucinated,apertus,4,0.15661083,0.028653715
31.860777,6.525147,Hallucinated,apertus,4,0.15661083,0.028653715
-5.6524153,2.7722185,Hallucinated,apertus,4,0.15661083,0.028653715
8.764114,7.1973124,Hallucinated,apertus,4,0.15661083,0.028653715
1.9063473,1.1949587,Hallucinated,apertus,4,0.15661083,0.028653715
2.2452807,7.762147,Hallucinated,apertus,4,0.15661083,0.028653715
-1.6995273,4.153059,Hallucinated,apertus,4,0.15661083,0.028653715
-21.238733,2.9571848,Hallucinated,apertus,4,0.15661083,0.028653715
15.410237,-6.666512,Hallucinated,apertus,4,0.15661083,0.028653715
10.200254,6.667568,Hallucinated,apertus,4,0.15661083,0.028653715
2.2973223,-7.246568,Hallucinated,apertus,4,0.15661083,0.028653715
-1.94815,6.0276504,Hallucinated,apertus,4,0.15661083,0.028653715
-9.015512,7.168191,Hallucinated,apertus,4,0.15661083,0.028653715
-7.495013,6.3034825,Hallucinated,apertus,4,0.15661083,0.028653715
16.126036,-2.2815695,Hallucinated,apertus,4,0.15661083,0.028653715
-0.20967895,-9.155349,Hallucinated,apertus,4,0.15661083,0.028653715
25.443943,4.470037,Hallucinated,apertus,4,0.15661083,0.028653715
10.327944,-8.358228,Hallucinated,apertus,4,0.15661083,0.028653715
-11.055913,7.148408,Hallucinated,apertus,4,0.15661083,0.028653715
22.205921,8.069327,Hallucinated,apertus,4,0.15661083,0.028653715
17.932219,7.1292286,Hallucinated,apertus,4,0.15661083,0.028653715
-5.4534426,5.1494884,Hallucinated,apertus,4,0.15661083,0.028653715
-4.9715953,4.266272,Hallucinated,apertus,4,0.15661083,0.028653715
-27.802443,1.7115055,Hallucinated,apertus,4,0.15661083,0.028653715
-2.9298117,-11.912194,Hallucinated,apertus,4,0.15661083,0.028653715
29.374807,5.992866,Hallucinated,apertus,4,0.15661083,0.028653715
-52.982388,10.593007,Hallucinated,apertus,4,0.15661083,0.028653715
31.090422,8.869903,Hallucinated,apertus,4,0.15661083,0.028653715
28.058733,5.65505,Hallucinated,apertus,4,0.15661083,0.028653715
-19.548016,-2.2019448,Hallucinated,apertus,4,0.15661083,0.028653715
-20.06715,4.52078,Hallucinated,apertus,4,0.15661083,0.028653715
-25.666061,-6.15297,Hallucinated,apertus,4,0.15661083,0.028653715
-2.560206,6.5023375,Hallucinated,apertus,4,0.15661083,0.028653715
15.602023,-1.4349254,Hallucinated,apertus,4,0.15661083,0.028653715
30.288702,9.011709,Hallucinated,apertus,4,0.15661083,0.028653715
-0.514687,4.391471,Hallucinated,apertus,4,0.15661083,0.028653715
22.6717,3.6502767,Hallucinated,apertus,4,0.15661083,0.028653715
-6.833786,3.6235304,Hallucinated,apertus,4,0.15661083,0.028653715
2.1386385,7.6981936,Hallucinated,apertus,4,0.15661083,0.028653715
8.4416895,5.372449,Hallucinated,apertus,4,0.15661083,0.028653715
-0.81028914,-2.0476787,Hallucinated,apertus,4,0.15661083,0.028653715
2.5431638,3.9850051,Hallucinated,apertus,4,0.15661083,0.028653715
-2.012181,7.641167,Hallucinated,apertus,4,0.15661083,0.028653715
6.065947,8.209376,Hallucinated,apertus,4,0.15661083,0.028653715
14.592695,-2.4739263,Hallucinated,apertus,4,0.15661083,0.028653715
-4.2778993,5.9231925,Hallucinated,apertus,4,0.15661083,0.028653715
-4.057322,2.7553606,Hallucinated,apertus,4,0.15661083,0.028653715
-11.717186,7.768704,Hallucinated,apertus,4,0.15661083,0.028653715
-15.014349,9.699412,Hallucinated,apertus,4,0.15661083,0.028653715
23.043167,-0.68176425,Hallucinated,apertus,4,0.15661083,0.028653715
21.825369,2.8166425,Hallucinated,apertus,4,0.15661083,0.028653715
-6.15827,10.581069,Hallucinated,apertus,4,0.15661083,0.028653715
9.556573,8.0389185,Hallucinated,apertus,4,0.15661083,0.028653715
5.6793666,11.151321,Hallucinated,apertus,4,0.15661083,0.028653715
-1.2802423,-1.1862631,Hallucinated,apertus,4,0.15661083,0.028653715
0.989231,-5.635106,Hallucinated,apertus,4,0.15661083,0.028653715
24.846378,4.079126,Hallucinated,apertus,4,0.15661083,0.028653715
21.124098,4.3670435,Hallucinated,apertus,4,0.15661083,0.028653715
0.33671555,7.0612826,Hallucinated,apertus,4,0.15661083,0.028653715
-21.379562,-2.5233464,Hallucinated,apertus,4,0.15661083,0.028653715
20.642204,-4.9551725,Hallucinated,apertus,4,0.15661083,0.028653715
14.858786,-4.292403,Hallucinated,apertus,4,0.15661083,0.028653715
-33.384884,5.8960643,Hallucinated,apertus,4,0.15661083,0.028653715
-8.470934,6.4210153,Hallucinated,apertus,4,0.15661083,0.028653715
16.603983,-3.2755914,Hallucinated,apertus,4,0.15661083,0.028653715
-7.1809554,-13.192795,Hallucinated,apertus,4,0.15661083,0.028653715
-29.994862,3.9073637,Hallucinated,apertus,4,0.15661083,0.028653715
-4.470548,4.4865184,Hallucinated,apertus,4,0.15661083,0.028653715
16.590662,6.7512193,Hallucinated,apertus,4,0.15661083,0.028653715
26.316698,10.686681,Hallucinated,apertus,4,0.15661083,0.028653715
5.887222,8.526346,Hallucinated,apertus,4,0.15661083,0.028653715
5.3650074,3.770907,Hallucinated,apertus,4,0.15661083,0.028653715
-20.532581,8.155647,Hallucinated,apertus,4,0.15661083,0.028653715
-11.221854,11.724623,Hallucinated,apertus,4,0.15661083,0.028653715
10.419095,-0.8641487,Hallucinated,apertus,4,0.15661083,0.028653715
-24.828209,2.4306748,Hallucinated,apertus,4,0.15661083,0.028653715
-5.9546065,-4.1794567,Hallucinated,apertus,4,0.15661083,0.028653715
15.596543,-8.224184,Hallucinated,apertus,4,0.15661083,0.028653715
3.1304648,-9.534557,Hallucinated,apertus,4,0.15661083,0.028653715
19.794342,-0.08741601,Hallucinated,apertus,4,0.15661083,0.028653715
-3.833299,1.1614946,Hallucinated,apertus,4,0.15661083,0.028653715
13.622255,-5.238543,Hallucinated,apertus,4,0.15661083,0.028653715
10.194572,8.925603,Hallucinated,apertus,4,0.15661083,0.028653715
9.747592,8.683078,Hallucinated,apertus,4,0.15661083,0.028653715
6.599472,8.223215,Hallucinated,apertus,4,0.15661083,0.028653715
12.79824,-5.975456,Hallucinated,apertus,4,0.15661083,0.028653715
1.1835812,-0.9669846,Hallucinated,apertus,4,0.15661083,0.028653715
2.9512753,8.922467,Hallucinated,apertus,4,0.15661083,0.028653715
-18.376617,4.298505,Hallucinated,apertus,4,0.15661083,0.028653715
-29.042091,7.874868,Hallucinated,apertus,4,0.15661083,0.028653715
-45.47104,10.728604,Hallucinated,apertus,4,0.15661083,0.028653715
-8.938373,-4.3774395,Hallucinated,apertus,4,0.15661083,0.028653715
24.42738,6.746274,Hallucinated,apertus,4,0.15661083,0.028653715
-8.602547,6.1651983,Hallucinated,apertus,4,0.15661083,0.028653715
8.4801,6.4089084,Hallucinated,apertus,4,0.15661083,0.028653715
10.397108,7.7538867,Hallucinated,apertus,4,0.15661083,0.028653715
12.519358,7.4654117,Hallucinated,apertus,4,0.15661083,0.028653715
-6.7436996,-7.072548,Hallucinated,apertus,4,0.15661083,0.028653715
-1.1631285,2.617007,Hallucinated,apertus,4,0.15661083,0.028653715
-10.128683,-4.41627,Hallucinated,apertus,4,0.15661083,0.028653715
-0.37386042,-9.054181,Hallucinated,apertus,4,0.15661083,0.028653715
-18.752386,6.9518523,Hallucinated,apertus,4,0.15661083,0.028653715
10.322723,10.809597,Hallucinated,apertus,4,0.15661083,0.028653715
-8.689036,-10.775327,Hallucinated,apertus,4,0.15661083,0.028653715
7.6974154,-3.9431345,Hallucinated,apertus,4,0.15661083,0.028653715
19.685572,-7.099215,Hallucinated,apertus,4,0.15661083,0.028653715
-17.63262,0.94694,Hallucinated,apertus,4,0.15661083,0.028653715
-6.9413033,4.4912777,Hallucinated,apertus,4,0.15661083,0.028653715
-19.617788,-2.6671844,Hallucinated,apertus,4,0.15661083,0.028653715
21.704819,10.227754,Hallucinated,apertus,4,0.15661083,0.028653715
4.9714255,-9.10561,Hallucinated,apertus,4,0.15661083,0.028653715
27.422762,-4.841395,Hallucinated,apertus,4,0.15661083,0.028653715
-8.833497,6.9765625,Hallucinated,apertus,4,0.15661083,0.028653715
-22.452528,-4.6540728,Hallucinated,apertus,4,0.15661083,0.028653715
43.24854,7.51289,Hallucinated,apertus,4,0.15661083,0.028653715
2.4486346,-10.322751,Hallucinated,apertus,4,0.15661083,0.028653715
13.763362,-5.610619,Hallucinated,apertus,4,0.15661083,0.028653715
17.673094,4.6835527,Hallucinated,apertus,4,0.15661083,0.028653715
5.5686784,-3.2756298,Hallucinated,apertus,4,0.15661083,0.028653715
-17.551968,5.808393,Hallucinated,apertus,4,0.15661083,0.028653715
-9.706403,-12.305626,Hallucinated,apertus,4,0.15661083,0.028653715
9.008154,6.0305157,Hallucinated,apertus,4,0.15661083,0.028653715
16.890938,5.7369637,Hallucinated,apertus,4,0.15661083,0.028653715
-46.117893,6.728032,Hallucinated,apertus,4,0.15661083,0.028653715
-9.86754,12.187212,Hallucinated,apertus,4,0.15661083,0.028653715
-0.92214817,3.9867377,Hallucinated,apertus,4,0.15661083,0.028653715
5.346256,-7.6298647,Hallucinated,apertus,4,0.15661083,0.028653715
-0.027293993,-8.082192,Hallucinated,apertus,4,0.15661083,0.028653715
-6.1714997,-3.2337916,Hallucinated,apertus,4,0.15661083,0.028653715
-0.65174156,6.235079,Hallucinated,apertus,4,0.15661083,0.028653715
-7.708232,2.1044583,Hallucinated,apertus,4,0.15661083,0.028653715
-3.123615,-10.816989,Hallucinated,apertus,4,0.15661083,0.028653715
-11.518497,11.6150675,Hallucinated,apertus,4,0.15661083,0.028653715
9.0436125,6.902703,Hallucinated,apertus,4,0.15661083,0.028653715
6.876567,-9.161324,Hallucinated,apertus,4,0.15661083,0.028653715
-31.282484,-17.639967,Hallucinated,apertus,4,0.15661083,0.028653715
13.5151415,2.46968,Hallucinated,apertus,4,0.15661083,0.028653715
7.155214,-5.4380956,Hallucinated,apertus,4,0.15661083,0.028653715
-10.425226,5.260902,Hallucinated,apertus,4,0.15661083,0.028653715
11.544186,-5.254609,Hallucinated,apertus,4,0.15661083,0.028653715
-17.904549,7.1118,Hallucinated,apertus,4,0.15661083,0.028653715
-4.759221,0.8437113,Hallucinated,apertus,4,0.15661083,0.028653715
-13.639445,2.0888066,Hallucinated,apertus,4,0.15661083,0.028653715
28.571358,6.121189,Hallucinated,apertus,4,0.15661083,0.028653715
-12.402261,10.114283,Hallucinated,apertus,4,0.15661083,0.028653715
-10.559672,10.815864,Hallucinated,apertus,4,0.15661083,0.028653715
8.779067,3.9301686,Hallucinated,apertus,4,0.15661083,0.028653715
-14.230933,-6.295041,Hallucinated,apertus,4,0.15661083,0.028653715
3.1292505,1.3141897,Hallucinated,apertus,4,0.15661083,0.028653715
9.856233,9.883421,Hallucinated,apertus,4,0.15661083,0.028653715
-21.844051,1.0033323,Hallucinated,apertus,4,0.15661083,0.028653715
23.88693,6.5853157,Hallucinated,apertus,4,0.15661083,0.028653715
40.797325,5.5754585,Hallucinated,apertus,4,0.15661083,0.028653715
7.760253,-5.496079,Hallucinated,apertus,4,0.15661083,0.028653715
1.4546887,-11.086884,Hallucinated,apertus,4,0.15661083,0.028653715
-11.988282,1.1477058,Hallucinated,apertus,4,0.15661083,0.028653715
-12.752637,2.14306,Hallucinated,apertus,4,0.15661083,0.028653715
1.7299248,-13.570727,Hallucinated,apertus,4,0.15661083,0.028653715
20.348345,4.1506567,Hallucinated,apertus,4,0.15661083,0.028653715
4.1468306,-6.6968226,Hallucinated,apertus,4,0.15661083,0.028653715
19.974983,4.6007123,Hallucinated,apertus,4,0.15661083,0.028653715
16.213974,1.9323581,Hallucinated,apertus,4,0.15661083,0.028653715
-4.562582,11.093298,Hallucinated,apertus,4,0.15661083,0.028653715
-32.52142,3.6008306,Hallucinated,apertus,4,0.15661083,0.028653715
11.94526,-4.2883472,Hallucinated,apertus,4,0.15661083,0.028653715
7.429199,-3.6511762,Hallucinated,apertus,4,0.15661083,0.028653715
16.461197,5.819305,Hallucinated,apertus,4,0.15661083,0.028653715
-4.944428,-10.038811,Hallucinated,apertus,4,0.15661083,0.028653715
35.249012,-1.1530014,Hallucinated,apertus,4,0.15661083,0.028653715
-19.36814,7.37892,Hallucinated,apertus,4,0.15661083,0.028653715
13.97259,-11.666149,Hallucinated,apertus,4,0.15661083,0.028653715
27.264645,5.433225,Hallucinated,apertus,4,0.15661083,0.028653715
-7.4515433,1.4387407,Hallucinated,apertus,4,0.15661083,0.028653715
5.697323,-8.008546,Hallucinated,apertus,4,0.15661083,0.028653715
1.943392,6.686753,Hallucinated,apertus,4,0.15661083,0.028653715
-34.579063,-3.1716173,Hallucinated,apertus,4,0.15661083,0.028653715
0.3241347,4.8996935,Hallucinated,apertus,4,0.15661083,0.028653715
5.3935084,5.274323,Hallucinated,apertus,4,0.15661083,0.028653715
5.643824,4.576998,Hallucinated,apertus,4,0.15661083,0.028653715
-6.622573,3.3582153,Hallucinated,apertus,4,0.15661083,0.028653715
-42.606808,0.28013238,Hallucinated,apertus,4,0.15661083,0.028653715
27.672142,5.2154837,Hallucinated,apertus,4,0.15661083,0.028653715
10.953756,8.081944,Hallucinated,apertus,4,0.15661083,0.028653715
15.157771,7.818205,Hallucinated,apertus,4,0.15661083,0.028653715
-19.779903,-7.165432,Hallucinated,apertus,4,0.15661083,0.028653715
