run_id,probe_id,state,created_at,model,layer,seed,metric_key,value,test_model,metric_family,metric
2msk68xv,apertus_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:54:28+00:00,apertus,10,42,train/longfact_test_apertus/all_f1,0.2715897169678682,apertus,all,f1
ennpfi5c,apertus_no_lora_long_form_layer10_seed43,finished,2026-03-02 14:55:28+00:00,apertus,10,43,train/longfact_test_apertus/all_f1,0.2801368522126616,apertus,all,f1
ckfvtpqq,apertus_no_lora_long_form_layer10_seed44,finished,2026-03-02 14:55:28+00:00,apertus,10,44,train/longfact_test_apertus/all_f1,0.2716896087682604,apertus,all,f1
98q6shel,apertus_no_lora_long_form_layer16_seed42,finished,2026-03-02 14:55:28+00:00,apertus,16,42,train/longfact_test_apertus/all_f1,0.25900254330717254,apertus,all,f1
92fyxrb6,apertus_no_lora_long_form_layer16_seed43,finished,2026-03-02 14:55:28+00:00,apertus,16,43,train/longfact_test_apertus/all_f1,0.26387015596853475,apertus,all,f1
i19xd1q5,apertus_no_lora_long_form_layer16_seed44,finished,2026-03-02 14:56:24+00:00,apertus,16,44,train/longfact_test_apertus/all_f1,0.2466589700531766,apertus,all,f1
5w54hojz,apertus_no_lora_long_form_layer20_seed42,finished,2026-03-02 14:56:24+00:00,apertus,20,42,train/longfact_test_apertus/all_f1,0.20019447800335916,apertus,all,f1
h3qhm4bp,apertus_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:56:24+00:00,apertus,20,43,train/longfact_test_apertus/all_f1,0.21698776400110031,apertus,all,f1
1sb6t3rt,apertus_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:56:24+00:00,apertus,20,44,train/longfact_test_apertus/all_f1,0.2061640537214404,apertus,all,f1
rjgl9oec,apertus_no_lora_long_form_layer24_seed42,finished,2026-03-02 14:56:59+00:00,apertus,24,42,train/longfact_test_apertus/all_f1,0.1876943658831399,apertus,all,f1
g0y68jcb,apertus_no_lora_long_form_layer24_seed43,finished,2026-03-02 14:56:59+00:00,apertus,24,43,train/longfact_test_apertus/all_f1,0.2090814185452779,apertus,all,f1
p8vm93b7,apertus_no_lora_long_form_layer24_seed44,finished,2026-03-02 14:56:59+00:00,apertus,24,44,train/longfact_test_apertus/all_f1,0.19081797255904157,apertus,all,f1
fjxaywoo,apertus_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:56:59+00:00,apertus,26,42,train/longfact_test_apertus/all_f1,0.2175095284145856,apertus,all,f1
fc3llcx0,apertus_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:58:28+00:00,apertus,26,43,train/longfact_test_apertus/all_f1,0.21903579827541156,apertus,all,f1
gtn6g9ne,apertus_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:58:28+00:00,apertus,26,44,train/longfact_test_apertus/all_f1,0.2112497938087645,apertus,all,f1
xowhpuzx,apertus_no_lora_long_form_layer28_seed42,finished,2026-03-02 14:58:28+00:00,apertus,28,42,train/longfact_test_apertus/all_f1,0.2651126161600252,apertus,all,f1
e75d9qzf,apertus_no_lora_long_form_layer28_seed43,finished,2026-03-02 14:58:28+00:00,apertus,28,43,train/longfact_test_apertus/all_f1,0.23053950454831512,apertus,all,f1
ha39x6u6,apertus_no_lora_long_form_layer28_seed44,finished,2026-03-02 14:58:28+00:00,apertus,28,44,train/longfact_test_apertus/all_f1,0.2536947840764069,apertus,all,f1
pk12wkry,apertus_no_lora_long_form_layer30_seed42,finished,2026-03-02 14:58:28+00:00,apertus,30,42,train/longfact_test_apertus/all_f1,0.0002309682187730968,apertus,all,f1
vhvivjkc,apertus_no_lora_long_form_layer30_seed43,finished,2026-03-02 14:58:28+00:00,apertus,30,43,train/longfact_test_apertus/all_f1,0.2794741767688859,apertus,all,f1
agskbmvs,apertus_no_lora_long_form_layer30_seed44,finished,2026-03-02 14:58:28+00:00,apertus,30,44,train/longfact_test_apertus/all_f1,0.26669614639285205,apertus,all,f1
dxwgjkjh,llama_no_lora_long_form_layer4_seed42,finished,2026-03-02 14:45:37+00:00,llama,4,42,train/longfact_test_apertus/all_f1,0.17015059126064172,apertus,all,f1
e5f00gcl,llama_no_lora_long_form_layer4_seed43,finished,2026-03-02 14:45:37+00:00,llama,4,43,train/longfact_test_apertus/all_f1,0.17255188879048097,apertus,all,f1
cfx6hhoc,llama_no_lora_long_form_layer4_seed44,finished,2026-03-02 14:45:36+00:00,llama,4,44,train/longfact_test_apertus/all_f1,0.17433134500673467,apertus,all,f1
kgoq3e5r,llama_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:45:36+00:00,llama,10,42,train/longfact_test_apertus/all_f1,0.2614704256495301,apertus,all,f1
9oem35be,llama_no_lora_long_form_layer10_seed43,finished,2026-03-02 14:46:11+00:00,llama,10,43,train/longfact_test_apertus/all_f1,0.2660601253984168,apertus,all,f1
rri8v027,llama_no_lora_long_form_layer10_seed44,finished,2026-03-02 14:46:11+00:00,llama,10,44,train/longfact_test_apertus/all_f1,0.2663563407741019,apertus,all,f1
egoe6db0,llama_no_lora_long_form_layer16_seed42,finished,2026-03-02 14:46:11+00:00,llama,16,42,train/longfact_test_apertus/all_f1,0.27339557245080504,apertus,all,f1
x0f4o57o,llama_no_lora_long_form_layer16_seed43,finished,2026-03-02 14:46:11+00:00,llama,16,43,train/longfact_test_apertus/all_f1,0.2725564167638384,apertus,all,f1
wflhsqs9,llama_no_lora_long_form_layer16_seed44,finished,2026-03-02 14:50:44+00:00,llama,16,44,train/longfact_test_apertus/all_f1,0.2722293859101812,apertus,all,f1
qni919ee,llama_no_lora_long_form_layer20_seed42,finished,2026-03-02 14:50:44+00:00,llama,20,42,train/longfact_test_apertus/all_f1,0.2656629568950907,apertus,all,f1
4aryhr4u,llama_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:50:44+00:00,llama,20,43,train/longfact_test_apertus/all_f1,0.2636331619356202,apertus,all,f1
v8qejznt,llama_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:50:44+00:00,llama,20,44,train/longfact_test_apertus/all_f1,0.2624906575663137,apertus,all,f1
k5b7gy5e,llama_no_lora_long_form_layer24_seed42,finished,2026-03-02 14:50:44+00:00,llama,24,42,train/longfact_test_apertus/all_f1,0.25883436610283034,apertus,all,f1
jg69cqpj,llama_no_lora_long_form_layer24_seed43,finished,2026-03-02 14:50:44+00:00,llama,24,43,train/longfact_test_apertus/all_f1,0.2581095221485874,apertus,all,f1
5o6iy05l,llama_no_lora_long_form_layer24_seed44,finished,2026-03-02 14:50:44+00:00,llama,24,44,train/longfact_test_apertus/all_f1,0.25880159194010743,apertus,all,f1
82vjeyys,llama_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:50:44+00:00,llama,26,42,train/longfact_test_apertus/all_f1,0.26128598633359473,apertus,all,f1
gzg4irhz,llama_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:51:46+00:00,llama,26,43,train/longfact_test_apertus/all_f1,0.26180749860100727,apertus,all,f1
7u7entue,llama_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:51:46+00:00,llama,26,44,train/longfact_test_apertus/all_f1,0.26209342272953956,apertus,all,f1
5zoj6oqm,llama_no_lora_long_form_layer28_seed42,finished,2026-03-02 14:51:46+00:00,llama,28,42,train/longfact_test_apertus/all_f1,0.2646656417055729,apertus,all,f1
22zq4z08,llama_no_lora_long_form_layer28_seed43,finished,2026-03-02 14:51:46+00:00,llama,28,43,train/longfact_test_apertus/all_f1,0.2660108186888646,apertus,all,f1
pbg44l09,llama_no_lora_long_form_layer28_seed44,finished,2026-03-02 14:51:46+00:00,llama,28,44,train/longfact_test_apertus/all_f1,0.26594282382016854,apertus,all,f1
ct7o6ek7,llama_no_lora_long_form_layer30_seed42,finished,2026-03-02 14:51:46+00:00,llama,30,42,train/longfact_test_apertus/all_f1,0.28592047164157197,apertus,all,f1
av9rm02w,llama_no_lora_long_form_layer30_seed43,finished,2026-03-02 14:51:46+00:00,llama,30,43,train/longfact_test_apertus/all_f1,0.2874692269817824,apertus,all,f1
ojujrfsw,llama_no_lora_long_form_layer30_seed44,finished,2026-03-02 14:51:46+00:00,llama,30,44,train/longfact_test_apertus/all_f1,0.2853271815152514,apertus,all,f1
f1osa4x3,apertus_no_lora_long_form_layer4_seed42,finished,2026-03-02 14:54:28+00:00,apertus,4,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5276307578524049,apertus,all,recall_at_0.1_fpr
k9210t28,apertus_no_lora_long_form_layer4_seed43,finished,2026-03-02 14:54:28+00:00,apertus,4,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5534471999445305,apertus,all,recall_at_0.1_fpr
4dw0ohsb,apertus_no_lora_long_form_layer4_seed44,finished,2026-03-02 14:54:28+00:00,apertus,4,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5465366214435944,apertus,all,recall_at_0.1_fpr
2msk68xv,apertus_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:54:28+00:00,apertus,10,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5489403009221808,apertus,all,recall_at_0.1_fpr
