run_id,run_name,selected_id,state,created_at,run_kind,train_model,variant,probe_dtype_tag,layer,seed,probe_dtype,normalize_before_head,probe_dtype_expected,normalize_before_head_expected,train/loss,train/lm_loss,train/kl_loss,metric_key,value,test_model,metric_family,metric
hirckxit,apertus_seed_ablation_lora_ln_bf16_layer10_seed44,apertus_seed_ablation_lora_ln_bf16_layer10_seed44,finished,2026-03-17 12:12:00+00:00,final_ablation,apertus,lora_ln,bf16,10,44,bfloat16,,bfloat16,layernorm,0.1719139814376831,0.2203553467988968,0.0056469375267624855,train/longfact_test_apertus/all_auc,0.8915302229488982,apertus,all,auc
w4vtm8vr,apertus_seed_ablation_lora_ln_fp32_layer10_seed44,apertus_seed_ablation_lora_ln_fp32_layer10_seed44,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_ln,fp32,10,44,float32,,float32,layernorm,0.1706967055797577,0.22055350244045255,0.005026350263506174,train/longfact_test_apertus/all_auc,0.8898437243382264,apertus,all,auc
2xbj8o4l,apertus_seed_ablation_lora_ln_bf16_layer20_seed42,apertus_seed_ablation_lora_ln_bf16_layer20_seed42,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_ln,bf16,20,42,bfloat16,,bfloat16,layernorm,0.0964587777853012,0.2506278157234192,0.01028379611670971,train/longfact_test_apertus/all_auc,0.900608806961996,apertus,all,auc
zoig8be8,apertus_seed_ablation_lora_ln_fp32_layer20_seed42,apertus_seed_ablation_lora_ln_fp32_layer20_seed42,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_ln,fp32,20,42,float32,,float32,layernorm,0.1011764034628868,0.24893546104431152,0.009765960276126862,train/longfact_test_apertus/all_auc,0.8997917857948566,apertus,all,auc
7h8nccd0,apertus_seed_ablation_lora_ln_bf16_layer20_seed43,apertus_seed_ablation_lora_ln_bf16_layer20_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_ln,bf16,20,43,bfloat16,,bfloat16,layernorm,0.3106992244720459,0.19516922533512115,0.011255218647420406,train/longfact_test_apertus/all_auc,0.8998187045846503,apertus,all,auc
6g0v1xpx,apertus_seed_ablation_lora_ln_fp32_layer20_seed43,apertus_seed_ablation_lora_ln_fp32_layer20_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_ln,fp32,20,43,float32,,float32,layernorm,0.3116098642349243,0.1918206363916397,0.0092967776581645,train/longfact_test_apertus/all_auc,0.8987913579375933,apertus,all,auc
ojz7itd9,apertus_seed_ablation_lora_ln_bf16_layer20_seed44,apertus_seed_ablation_lora_ln_bf16_layer20_seed44,finished,2026-03-17 16:30:18+00:00,final_ablation,apertus,lora_ln,bf16,20,44,bfloat16,,bfloat16,layernorm,0.31840285658836365,0.2190549373626709,0.0058461506851017475,train/longfact_test_apertus/all_auc,0.8990630527673311,apertus,all,auc
d3ac3fxw,apertus_seed_ablation_lora_ln_fp32_layer20_seed44,apertus_seed_ablation_lora_ln_fp32_layer20_seed44,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_ln,fp32,20,44,float32,,float32,layernorm,0.32679519057273865,0.21948564052581787,0.005932671949267387,train/longfact_test_apertus/all_auc,0.8978306942429573,apertus,all,auc
rs01dsvx,apertus_seed_ablation_lora_ln_bf16_layer26_seed42,apertus_seed_ablation_lora_ln_bf16_layer26_seed42,finished,2026-03-17 16:30:18+00:00,final_ablation,apertus,lora_ln,bf16,26,42,bfloat16,,bfloat16,layernorm,0.1370227336883545,0.25045421719551086,0.01271762792021036,train/longfact_test_apertus/all_auc,0.8983803085515223,apertus,all,auc
anc6o8w4,apertus_seed_ablation_lora_ln_fp32_layer26_seed42,apertus_seed_ablation_lora_ln_fp32_layer26_seed42,finished,2026-03-17 16:29:53+00:00,final_ablation,apertus,lora_ln,fp32,26,42,float32,,float32,layernorm,0.1374218761920929,0.2509734630584717,0.012303522787988186,train/longfact_test_apertus/all_auc,0.8975592090420991,apertus,all,auc
uw9wu297,apertus_seed_ablation_lora_ln_bf16_layer26_seed43,apertus_seed_ablation_lora_ln_bf16_layer26_seed43,finished,2026-03-17 16:30:18+00:00,final_ablation,apertus,lora_ln,bf16,26,43,bfloat16,,bfloat16,layernorm,0.3048444092273712,0.19521087408065796,0.011675341986119747,train/longfact_test_apertus/all_auc,0.8978727118966153,apertus,all,auc
xzz3jtwc,apertus_seed_ablation_lora_ln_fp32_layer26_seed43,apertus_seed_ablation_lora_ln_fp32_layer26_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_ln,fp32,26,43,float32,,float32,layernorm,0.3077434301376343,0.1946186870336533,0.011910123750567436,train/longfact_test_apertus/all_auc,0.8967502292461617,apertus,all,auc
pntrbqoj,apertus_seed_ablation_lora_ln_bf16_layer26_seed44,apertus_seed_ablation_lora_ln_bf16_layer26_seed44,finished,2026-03-17 16:30:17+00:00,final_ablation,apertus,lora_ln,bf16,26,44,bfloat16,,bfloat16,layernorm,0.33011865615844727,0.2223024070262909,0.007598254363983869,train/longfact_test_apertus/all_auc,0.8963532698266987,apertus,all,auc
lbx39pba,apertus_seed_ablation_lora_ln_fp32_layer26_seed44,apertus_seed_ablation_lora_ln_fp32_layer26_seed44,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_ln,fp32,26,44,float32,,float32,layernorm,0.33547887206077576,0.2242678701877594,0.007607629522681236,train/longfact_test_apertus/all_auc,0.8961567201711492,apertus,all,auc
d4ewmqnu,apertus_seed_ablation_lora_ln_bf16_layer30_seed42,apertus_seed_ablation_lora_ln_bf16_layer30_seed42,finished,2026-03-17 16:30:17+00:00,final_ablation,apertus,lora_ln,bf16,30,42,bfloat16,,bfloat16,layernorm,0.11993342638015748,0.25046995282173157,0.014462952502071856,train/longfact_test_apertus/all_auc,0.8981631134135661,apertus,all,auc
bl0l3xox,apertus_seed_ablation_lora_ln_fp32_layer30_seed42,apertus_seed_ablation_lora_ln_fp32_layer30_seed42,finished,2026-03-17 16:30:07+00:00,final_ablation,apertus,lora_ln,fp32,30,42,float32,,float32,layernorm,0.12718553841114044,0.25139644742012024,0.013032215647399426,train/longfact_test_apertus/all_auc,0.897174030281999,apertus,all,auc
bqpql58e,apertus_seed_ablation_lora_ln_bf16_layer30_seed43,apertus_seed_ablation_lora_ln_bf16_layer30_seed43,finished,2026-03-17 16:30:17+00:00,final_ablation,apertus,lora_ln,bf16,30,43,bfloat16,,bfloat16,layernorm,0.2970273494720459,0.1982695609331131,0.013581558130681516,train/longfact_test_apertus/all_auc,0.8979767684615723,apertus,all,auc
ci3jkkks,apertus_seed_ablation_lora_ln_fp32_layer30_seed43,apertus_seed_ablation_lora_ln_fp32_layer30_seed43,finished,2026-03-17 16:30:07+00:00,final_ablation,apertus,lora_ln,fp32,30,43,float32,,float32,layernorm,0.2946167588233948,0.19505859911441803,0.011995725333690643,train/longfact_test_apertus/all_auc,0.8970558956090727,apertus,all,auc
7olona0s,apertus_seed_ablation_lora_ln_bf16_layer30_seed44,apertus_seed_ablation_lora_ln_bf16_layer30_seed44,finished,2026-03-17 16:30:17+00:00,final_ablation,apertus,lora_ln,bf16,30,44,bfloat16,,bfloat16,layernorm,0.2392968088388443,0.22305463254451752,0.008136157877743244,train/longfact_test_apertus/all_auc,0.8969012511395005,apertus,all,auc
ch8fpucm,apertus_seed_ablation_lora_ln_fp32_layer30_seed44,apertus_seed_ablation_lora_ln_fp32_layer30_seed44,finished,2026-03-17 16:30:07+00:00,final_ablation,apertus,lora_ln,fp32,30,44,float32,,float32,layernorm,0.2580143213272095,0.22365257143974304,0.007666947785764933,train/longfact_test_apertus/all_auc,0.8961363156201555,apertus,all,auc
gffrf04r,apertus_seed_ablation_lora_no_ln_bf16_layer10_seed42,apertus_seed_ablation_lora_no_ln_bf16_layer10_seed42,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_no_ln,bf16,10,42,bfloat16,,bfloat16,none,0.08922521770000458,0.25210753083229065,0.010495851747691631,train/longfact_test_apertus/all_auc,0.8782349528673594,apertus,all,auc
ewrxm4i8,apertus_seed_ablation_lora_no_ln_fp32_layer10_seed42,apertus_seed_ablation_lora_no_ln_fp32_layer10_seed42,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_no_ln,fp32,10,42,float32,,float32,none,0.11997590959072112,0.2505309581756592,0.009815593250095844,train/longfact_test_apertus/all_auc,0.8767507201646753,apertus,all,auc
qj13cihv,apertus_seed_ablation_lora_no_ln_bf16_layer10_seed43,apertus_seed_ablation_lora_no_ln_bf16_layer10_seed43,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_no_ln,bf16,10,43,bfloat16,,bfloat16,none,0.2442687451839447,0.19785532355308533,0.0140755046159029,train/longfact_test_apertus/all_auc,0.8794246329953058,apertus,all,auc
mecixmyz,apertus_seed_ablation_lora_no_ln_fp32_layer10_seed43,apertus_seed_ablation_lora_no_ln_fp32_layer10_seed43,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_no_ln,fp32,10,43,float32,,float32,none,0.2463620901107788,0.1975707560777664,0.014167893677949904,train/longfact_test_apertus/all_auc,0.8773130819176087,apertus,all,auc
6kau189r,apertus_seed_ablation_lora_no_ln_bf16_layer10_seed44,apertus_seed_ablation_lora_no_ln_bf16_layer10_seed44,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_no_ln,bf16,10,44,bfloat16,,bfloat16,none,0.2178159207105637,0.22761860489845276,0.01007705181837082,train/longfact_test_apertus/all_auc,0.8737433699230097,apertus,all,auc
6jaq3nfl,apertus_seed_ablation_lora_no_ln_fp32_layer10_seed44,apertus_seed_ablation_lora_no_ln_fp32_layer10_seed44,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_no_ln,fp32,10,44,float32,,float32,none,0.2450062334537506,0.22695371508598328,0.009543140418827534,train/longfact_test_apertus/all_auc,0.870494649129757,apertus,all,auc
6c6gmxtq,apertus_seed_ablation_lora_no_ln_bf16_layer20_seed42,apertus_seed_ablation_lora_no_ln_bf16_layer20_seed42,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_no_ln,bf16,20,42,bfloat16,,bfloat16,none,0.26062101125717163,0.3972518742084503,0.13034847378730774,train/longfact_test_apertus/all_auc,0.8692883358573391,apertus,all,auc
0bjruo3x,apertus_seed_ablation_lora_no_ln_fp32_layer20_seed42,apertus_seed_ablation_lora_no_ln_fp32_layer20_seed42,finished,2026-03-17 12:12:00+00:00,final_ablation,apertus,lora_no_ln,fp32,20,42,float32,,float32,none,0.2796197235584259,0.3843332827091217,0.11849804222583772,train/longfact_test_apertus/all_auc,0.8635909793883174,apertus,all,auc
iplnj2f6,apertus_seed_ablation_lora_no_ln_bf16_layer20_seed43,apertus_seed_ablation_lora_no_ln_bf16_layer20_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_no_ln,bf16,20,43,bfloat16,,bfloat16,none,0.32051798701286316,0.3339915871620178,0.12340111285448074,train/longfact_test_apertus/all_auc,0.8730412625991628,apertus,all,auc
p10jul9x,apertus_seed_ablation_lora_no_ln_fp32_layer20_seed43,apertus_seed_ablation_lora_no_ln_fp32_layer20_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_no_ln,fp32,20,43,float32,,float32,none,0.35655874013900757,0.3264869153499603,0.11710862070322035,train/longfact_test_apertus/all_auc,0.8661704842835333,apertus,all,auc
gzg1bpgo,apertus_seed_ablation_lora_no_ln_bf16_layer20_seed44,apertus_seed_ablation_lora_no_ln_bf16_layer20_seed44,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_no_ln,bf16,20,44,bfloat16,,bfloat16,none,0.16019457578659058,0.32381007075309753,0.10506468266248704,train/longfact_test_apertus/all_auc,0.8678010522891328,apertus,all,auc
m7x1nm18,apertus_seed_ablation_lora_no_ln_fp32_layer20_seed44,apertus_seed_ablation_lora_no_ln_fp32_layer20_seed44,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,lora_no_ln,fp32,20,44,float32,,float32,none,0.2034815400838852,0.3089570999145508,0.08906871825456619,train/longfact_test_apertus/all_auc,0.8672997912261758,apertus,all,auc
wb2hjoot,apertus_seed_ablation_lora_no_ln_bf16_layer26_seed42,apertus_seed_ablation_lora_no_ln_bf16_layer26_seed42,finished,2026-03-17 16:27:58+00:00,final_ablation,apertus,lora_no_ln,bf16,26,42,bfloat16,,bfloat16,none,0.25335440039634705,0.532015860080719,0.24838440120220184,train/longfact_test_apertus/all_auc,0.852231286652306,apertus,all,auc
