run_id,run_name,probe_id,state,created_at,model,layer,seed,final_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
ha39x6u6,apertus_no_lora_long_form_layer28_seed44,apertus_no_lora_long_form_layer28_seed44,finished,2026-03-02 14:58:28+00:00,apertus,28,44,9.188133239746094,0.6687935312356715,0.2536947840764069,,0.40710009938290154,0.6688955473408819,0.422356630056714,,0.40710009938290154,0.7995030864634953,0.6278605797441614,,0.6019833220644579,0.6842334020680467,0.2493269711735712,,0.4457857873612969,0.6834033241045986,0.4835885975908868,,0.4417407728023924,0.7959370273585479,0.6432674903596443,,0.0
pk12wkry,apertus_no_lora_long_form_layer30_seed42,apertus_no_lora_long_form_layer30_seed42,finished,2026-03-02 14:58:28+00:00,apertus,30,42,82.0517578125,0.5000533691196455,0.0002309682187730968,,0.0001386738160722953,0.5000632452595398,0.00023109632094657053,,0.0001386738160722953,0.5006405165769446,0.0022512381809995496,,0.001352265043948614,0.5001886318873037,0.0005347004890936827,,0.0004092232627685527,0.5001899691781541,0.0005349781288353212,,0.0004092232627685527,0.5016529637360996,0.00463960231980116,,0.0034889516530985216
vhvivjkc,apertus_no_lora_long_form_layer30_seed43,apertus_no_lora_long_form_layer30_seed43,finished,2026-03-02 14:58:28+00:00,apertus,30,43,10.69191074371338,0.6531387502590341,0.2794741767688859,,0.34585249728430445,0.6504745746332085,0.4364717878993882,,0.34585249728430445,0.760383337477413,0.6132937978749691,,0.5913905792201938,0.6732749241184043,0.27152629354226077,,0.4098843157314866,0.6658728226797492,0.4915767576714558,,0.4098843157314866,0.775875530017658,0.6423202614379085,,0.0
agskbmvs,apertus_no_lora_long_form_layer30_seed44,apertus_no_lora_long_form_layer30_seed44,finished,2026-03-02 14:58:28+00:00,apertus,30,44,0.0001453680742997676,0.620358003757663,0.26669614639285205,,0.2638731596828992,0.6154336848041935,0.3672080654692621,,0.2638731596828992,0.7283952054526637,0.586879664789839,,0.5321162947937795,0.6459836147502036,0.2765519270373639,,0.3317541512552137,0.6358665083930621,0.4369267745190291,,0.3317541512552137,0.757597079379979,0.6351139725073952,,0.0
dxwgjkjh,llama_no_lora_long_form_layer4_seed42,llama_no_lora_long_form_layer4_seed42,finished,2026-03-02 14:45:37+00:00,llama,4,42,0.4904392957687378,0.8421025211383432,0.17015059126064172,,0.5650847547550203,0.7415309277252098,0.200855487075706,,0.38308088176777993,0.7977934121955553,0.4226427094927652,,0.5024886877828054,0.8401707346171544,0.1949243556219649,,0.5290684057866576,0.7431722941793386,0.2527357762339372,,0.3816095267263589,0.7913230301013902,0.4837719298245614,,0.48609731876861967
e5f00gcl,llama_no_lora_long_form_layer4_seed43,llama_no_lora_long_form_layer4_seed43,finished,2026-03-02 14:45:37+00:00,llama,4,43,0.7738803029060364,0.8443597239202061,0.17255188879048097,,0.5648990635859618,0.7430416395887794,0.2055174627926709,,0.3825503355704698,0.798915676696494,0.4200477326968974,,0.4993212669683258,0.8424073110148813,0.19858448902806933,,0.5308159331255518,0.7458000427927524,0.2607543077479214,,0.38614949465833137,0.7931897899564061,0.48756981710656006,,0.4922211188348229
cfx6hhoc,llama_no_lora_long_form_layer4_seed44,llama_no_lora_long_form_layer4_seed44,finished,2026-03-02 14:45:36+00:00,llama,4,44,0.4791973531246186,0.8435954142751092,0.17433134500673467,,0.564182826219593,0.7419493553675566,0.20744132799084145,,0.385494866965541,0.7977658874934654,0.42312579415501905,,0.498868778280543,0.841960652730645,0.20038358618630345,,0.5299511773289856,0.7444208992149278,0.2623877768921906,,0.3839515736753923,0.791805953229734,0.4874520547945206,,0.49172459450513073
kgoq3e5r,llama_no_lora_long_form_layer10_seed42,llama_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:45:36+00:00,llama,10,42,0.4103353917598725,0.8764854912180169,0.2614704256495301,,0.6467092872111839,0.8244259410463572,0.3559736594543744,,0.5280791574926387,0.8660843990891532,0.5704927371119339,,0.6276018099547511,0.8727830309840049,0.2819136400534185,,0.6144810564433315,0.8261130584584122,0.433088393048702,,0.5233393986344065,0.8652355144590025,0.6199844176081029,,0.6171797418073486
9oem35be,llama_no_lora_long_form_layer10_seed43,llama_no_lora_long_form_layer10_seed43,finished,2026-03-02 14:46:11+00:00,llama,10,43,0.582381546497345,0.8766966881350129,0.2660601253984168,,0.6464970687322599,0.8257740232153691,0.3683981517932992,,0.5283974852110247,0.8674093015111012,0.5778405081157375,,0.6316742081447964,0.8730621903488596,0.2834332699311674,,0.6146251824094259,0.8277488737065405,0.4425827761647266,,0.5233033671428828,0.8667972029893992,0.6262567672080434,,0.6194968553459119
rri8v027,llama_no_lora_long_form_layer10_seed44,llama_no_lora_long_form_layer10_seed44,finished,2026-03-02 14:46:11+00:00,llama,10,44,0.3619125485420227,0.8762741289736549,0.2663563407741019,,0.6460991590842773,0.8253184371421558,0.36592404958162905,,0.5309175796482478,0.8667550295064161,0.5732954545454545,,0.6280542986425339,0.8729178685485856,0.2836655030694891,,0.6147332768839966,0.8278622360097336,0.44026902957190134,,0.52708667375286,0.8659345377398329,0.6214634146341463,,0.6175107580271433
egoe6db0,llama_no_lora_long_form_layer16_seed42,llama_no_lora_long_form_layer16_seed42,finished,2026-03-02 14:46:11+00:00,llama,16,42,0.4122848212718963,0.8836617869111629,0.27339557245080504,,0.6510862933389925,0.8326861880511922,0.3975127512141594,,0.5428548690877258,0.8731551516019311,0.6029916289282283,,0.6445701357466064,0.8797606515886423,0.28818685528554955,,0.6180301583584052,0.8380559380813104,0.4685549436139523,,0.5521645918532798,0.8796587635638786,0.6503909975205036,,0.6618669314796425
