run_id,run_name,selected_id,state,created_at,run_kind,train_model,variant,probe_dtype_tag,layer,seed,probe_dtype,normalize_before_head,probe_dtype_expected,normalize_before_head_expected,train/loss,train/lm_loss,train/kl_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
6je2twu6,apertus_seed_ablation_no_lora_ln_fp32_layer30_seed42,apertus_seed_ablation_no_lora_ln_fp32_layer30_seed42,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_ln,fp32,30,42,float32,,float32,layernorm,0.25856685638427734,0.23546640574932096,0.0,0.8434717857554485,0.2618117091668924,,0.5907042318626204,0.8162132940716913,0.3656901956545238,,0.507361268403171,0.8623693590585706,0.5976,,0.6150552174892946,0.837118016859878,0.2705831752769219,,0.5546863933265129,0.806768375734539,0.43757268933433674,,0.4705123160462737,0.8526193222904419,0.6423229212494501,,0.600598105997674
2j941r5c,apertus_seed_ablation_no_lora_ln_bf16_layer30_seed43,apertus_seed_ablation_no_lora_ln_bf16_layer30_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_ln,bf16,30,43,bfloat16,,bfloat16,layernorm,0.26969534158706665,0.1830067932605743,0.0,0.8520882425830157,0.2547287395050061,,0.6080846834770148,0.8104426700864014,0.3416363569565377,,0.4905817366584233,0.8559969731347633,0.5894965395576062,,0.5997295469912103,0.8449541010001326,0.2644757314712914,,0.5612969229558511,0.799168835959683,0.407407840432124,,0.4511056897772881,0.8462301011621062,0.6295329793935031,,0.5851470343910948
vjyy4o94,apertus_seed_ablation_no_lora_ln_fp32_layer30_seed43,apertus_seed_ablation_no_lora_ln_fp32_layer30_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_ln,fp32,30,43,float32,,float32,layernorm,0.2634609341621399,0.1830067932605743,0.0,0.8425865733452221,0.2619090791348271,,0.5928074514063836,0.8160485786448636,0.3654402197484458,,0.5042179952388657,0.8610064807361685,0.6035012695443004,,0.6096461573135001,0.8364507175524442,0.2689996314879383,,0.5524986228063272,0.8064576205480145,0.4344511846171455,,0.46793106161957976,0.8523362377966904,0.6432275643842841,,0.5989367004485795
3jj0ewpf,apertus_seed_ablation_no_lora_ln_bf16_layer30_seed44,apertus_seed_ablation_no_lora_ln_bf16_layer30_seed44,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_ln,bf16,30,44,bfloat16,,bfloat16,layernorm,0.43168309330940247,0.21715889871120453,0.0,0.8534953805454496,0.256369622535827,,0.6123604594725772,0.8114187061317529,0.34394530892029107,,0.49051239975038713,0.8553990783914261,0.5944131077088369,,0.6033355871084066,0.845953869282235,0.2667038071505469,,0.568946250098371,0.7992195088236157,0.4118536086309524,,0.4519713543716062,0.8453697912367009,0.6321040441831463,,0.5866422993852799
opwr5uh2,apertus_seed_ablation_no_lora_ln_fp32_layer30_seed44,apertus_seed_ablation_no_lora_ln_fp32_layer30_seed44,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,no_lora_ln,fp32,30,44,float32,,float32,layernorm,0.4119739234447479,0.21715889871120453,0.0,0.8436810164722404,0.26591197874552386,,0.5959044999653316,0.8174724663852352,0.37193687952174925,,0.5078235144567453,0.8614996406589766,0.6069310844643563,,0.6118999323867478,0.8374699768659611,0.27086598677228224,,0.5578185252223185,0.8072536634110671,0.4388194302111088,,0.469426300464311,0.852215807682974,0.6415325402379286,,0.5979398571191228
ixjluggi,apertus_seed_ablation_no_lora_no_ln_bf16_layer10_seed42,apertus_seed_ablation_no_lora_no_ln_bf16_layer10_seed42,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,no_lora_no_ln,bf16,10,42,bfloat16,,bfloat16,none,0.10592681914567947,0.23546640574932096,0.0,0.8462910482428285,0.2819763066801402,,0.5755887859107403,0.8260750293674821,0.4446516358704865,,0.5242332493586336,0.8646366317153169,0.6165987780040734,,0.61956276763579,0.8369872677139928,0.27888278109213654,,0.5394821751790352,0.8159022757436951,0.5123765840843266,,0.5028252144487291,0.8555532931451688,0.6475245801792395,,0.6032563548762253
m7qz9x2q,apertus_seed_ablation_no_lora_no_ln_fp32_layer10_seed42,apertus_seed_ablation_no_lora_no_ln_fp32_layer10_seed42,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,no_lora_no_ln,fp32,10,42,float32,,float32,none,0.11043614894151688,0.23546640574932096,0.0,0.8441076831807032,0.27638552640188446,,0.5692329026740934,0.828105515644811,0.43508265952515834,,0.5299419881202764,0.8674538103854971,0.6178401338653623,,0.6213657876943881,0.8346483576806895,0.27564235915053464,,0.5329031242622176,0.8183411578570687,0.5049101796407186,,0.5084126859211459,0.8582846047497551,0.6473896994199332,,0.6089051337431467
etblt7tf,apertus_seed_ablation_no_lora_no_ln_bf16_layer10_seed43,apertus_seed_ablation_no_lora_no_ln_bf16_layer10_seed43,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,no_lora_no_ln,bf16,10,43,bfloat16,,bfloat16,none,0.23841160535812375,0.1830067932605743,0.0,0.849137282675064,0.2807036350188129,,0.5787320590750457,0.8261702075207001,0.4449844512039696,,0.5275383086416899,0.8659822443788269,0.6211101232058935,,0.6229434302456615,0.8412057021190504,0.2817119518639139,,0.5442197214133941,0.8159347380507529,0.5133446782844711,,0.50048005036594,0.853220408764949,0.6380324989020641,,0.5947831865758432
z2qmzfgt,apertus_seed_ablation_no_lora_no_ln_fp32_layer10_seed43,apertus_seed_ablation_no_lora_no_ln_fp32_layer10_seed43,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,no_lora_no_ln,fp32,10,43,float32,,float32,none,0.2543913722038269,0.1830067932605743,0.0,0.8427856761045391,0.28229660237823423,,0.573416229458941,0.83085126970653,0.4663762455560563,,0.5402500751149837,0.8703957292231778,0.630734519929807,,0.6391706107730448,0.8345473201501702,0.27881530325492887,,0.5369953568899032,0.8199273752787146,0.5331626716313708,,0.509042260171559,0.8576552589768851,0.650220721890418,,0.6067453065293238
56r0l5bp,apertus_seed_ablation_no_lora_no_ln_bf16_layer10_seed44,apertus_seed_ablation_no_lora_no_ln_bf16_layer10_seed44,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,no_lora_no_ln,bf16,10,44,bfloat16,,bfloat16,none,0.15140654146671295,0.21715889871120453,0.0,0.8423385709493824,0.2883936324167873,,0.5707120900455313,0.827937082260871,0.4876027665405194,,0.5341022026024452,0.8669843435422948,0.6359175662414132,,0.629254000450755,0.8321302600558245,0.27690937241510954,,0.5326198158495318,0.8173446184966345,0.5438810260255569,,0.5065869205949477,0.8553393392964894,0.6499068901303539,,0.5934540621365675
99aldm5s,apertus_seed_ablation_no_lora_no_ln_fp32_layer10_seed44,apertus_seed_ablation_no_lora_no_ln_fp32_layer10_seed44,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,no_lora_no_ln,fp32,10,44,float32,,float32,none,0.1409534513950348,0.21715889871120453,0.0,0.8365926049094476,0.2863408975567317,,0.5620912011463702,0.8284955518042889,0.5058759486374844,,0.5369219035292486,0.8698267819758797,0.647185628742515,,0.6369168356997972,0.8262451695258561,0.2717775227648698,,0.5245297867317227,0.8177334424665427,0.5594608690316709,,0.51148186039191,0.8580905291918198,0.6558925907508703,,0.6022595115467686
3mcpg1f7,apertus_seed_ablation_no_lora_no_ln_bf16_layer20_seed42,apertus_seed_ablation_no_lora_no_ln_bf16_layer20_seed42,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,20,42,bfloat16,,bfloat16,none,0.023960106074810028,0.23546640574932096,0.0,0.7462743412465221,0.21981601946309423,,0.4277856102803522,0.7651415672582889,0.3740649265267684,,0.4411214089259713,0.8504735932473004,0.6218507181539911,,0.5916159567275185,0.7447161250435241,0.21619247897080657,,0.414495947115763,0.7596604892074744,0.407066660455583,,0.4188557487998741,0.8361842372886819,0.631950139412826,,0.554411031732846
x9ha1syf,apertus_seed_ablation_no_lora_no_ln_fp32_layer20_seed42,apertus_seed_ablation_no_lora_no_ln_fp32_layer20_seed42,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,no_lora_no_ln,fp32,20,42,float32,,float32,none,0.013175682164728642,0.23546640574932096,0.0,0.7431904880019461,0.2157525179246582,,0.4288256639008944,0.7663429826111879,0.36452126612629054,,0.4436406499179513,0.8541585781594123,0.6211238050827699,,0.591165201712869,0.7432782711149317,0.22353693636072913,,0.42167309357047295,0.7624300310838306,0.4195872004432747,,0.4256708900605965,0.8404274644261696,0.6354158247797624,,0.568699119455059
sjnzu3hl,apertus_seed_ablation_no_lora_no_ln_bf16_layer20_seed43,apertus_seed_ablation_no_lora_no_ln_bf16_layer20_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,20,43,bfloat16,,bfloat16,none,0.3148500919342041,0.1830067932605743,0.0,0.7542136410156913,0.22952149960778656,,0.4390875262902443,0.7700071981001422,0.4297096556380824,,0.4547807798090924,0.8510019995384469,0.6351084812623274,,0.6033355871084066,0.7493753334870122,0.21725053387948895,,0.41397654835917214,0.765270871580327,0.4557358826144953,,0.4305658298575588,0.8403532666664546,0.6485394655065257,,0.5808273799634491
3h4hukqh,apertus_seed_ablation_no_lora_no_ln_fp32_layer20_seed43,apertus_seed_ablation_no_lora_no_ln_fp32_layer20_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,fp32,20,43,float32,,float32,none,0.2561056911945343,0.1830067932605743,0.0,0.7443927772137613,0.22282868254076552,,0.4348348625973606,0.7663136268721785,0.39848706686188384,,0.45387940000462246,0.8533297220870053,0.6341518614914564,,0.6067162497182781,0.7387095559408904,0.2122735322943951,,0.40269142992051626,0.7630649393603521,0.4255984187724802,,0.4271976076178484,0.8422761758680369,0.6447148651873061,,0.5780029905299884
ao0stdlj,apertus_seed_ablation_no_lora_no_ln_bf16_layer20_seed44,apertus_seed_ablation_no_lora_no_ln_bf16_layer20_seed44,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,20,44,bfloat16,,bfloat16,none,0.8008295893669128,0.21715889871120453,0.0,0.7404681875443959,0.21605003523608177,,0.4185175769061872,0.7637356356807933,0.41556109049628087,,0.43555134398040074,0.849707750000715,0.6193618171984857,,0.5751633986928104,0.7400793532964004,0.2129471977555615,,0.4069882741795861,0.7618623091357616,0.461055967603495,,0.42453765640985286,0.839369998137126,0.6351956976396773,,0.5602259511546769
pnelq3u6,apertus_seed_ablation_no_lora_no_ln_fp32_layer20_seed44,apertus_seed_ablation_no_lora_no_ln_fp32_layer20_seed44,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,fp32,20,44,float32,,float32,none,0.2206287980079651,0.21715889871120453,0.0,0.7358192013992674,0.2164255262329636,,0.4165299188758176,0.7667406416739851,0.3951107396573339,,0.4423232486652645,0.8513149586872714,0.6246725139537532,,0.591165201712869,0.7357752916469559,0.2157327799189643,,0.40741323679861496,0.7645607242367898,0.4439097132786552,,0.43417014244117413,0.8422839234863257,0.6374375644176643,,0.5645456055823227
mskyvu7d,apertus_seed_ablation_no_lora_no_ln_bf16_layer26_seed42,apertus_seed_ablation_no_lora_no_ln_bf16_layer26_seed42,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,26,42,bfloat16,,bfloat16,none,0.007057615090161562,0.23546640574932096,0.0,0.6591134627709959,0.17904143318050603,,0.35225460512630874,0.7093265345457747,0.3088612229952398,,0.3430096840548224,0.8107532178640775,0.5856760374832664,,0.5163398692810458,0.6658230196377962,0.18883390324021115,,0.353301329975604,0.718755700934372,0.36668369225652414,,0.3549382230266782,0.8046848484739157,0.6099639210869732,,0.5080578169131085
zyvuxjg2,apertus_seed_ablation_no_lora_no_ln_fp32_layer26_seed42,apertus_seed_ablation_no_lora_no_ln_fp32_layer26_seed42,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,fp32,26,42,float32,,float32,none,0.006590116303414106,0.23546640574932096,0.0,0.6500682897397179,0.16601287408769744,,0.33841033582175795,0.7014479360304811,0.27002158355106215,,0.333764762983336,0.8150004976430487,0.5758277379022922,,0.5152129817444219,0.6553825291844416,0.17692369199605534,,0.334020618556701,0.7109669777661574,0.3265125430398426,,0.3377193672778783,0.8083021602751468,0.607686274509804,,0.49509885363017114
