run_id,probe_id,state,created_at,train_model,variant,layer,seed,lr,probe_dtype,normalize_before_head,final_loss,metric_key,value,test_model,metric_family,metric
4drsxr5u,apertus_no_lora_bf16_only_layer26_seed42_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,42,1e-4,bfloat16,none,0.023594362661242485,train/longfact_test_apertus/all_auc,0.6469086226141515,apertus,all,auc
1crms08u,apertus_no_lora_bf16_only_layer26_seed42_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,42,3e-4,bfloat16,none,0.006822563707828522,train/longfact_test_apertus/all_auc,0.6624800218683247,apertus,all,auc
cq95ctu3,apertus_no_lora_bf16_only_layer26_seed42_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,42,3e-5,bfloat16,none,0.9924049973487854,train/longfact_test_apertus/all_auc,0.592282247236744,apertus,all,auc
q08ckrfy,apertus_no_lora_bf16_only_layer26_seed43_lr1em3,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,26,43,1e-3,bfloat16,none,4.096848487854004,train/longfact_test_apertus/all_auc,0.6693898510509085,apertus,all,auc
hirctdjt,apertus_no_lora_bf16_only_layer26_seed43_lr1em4,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,26,43,1e-4,bfloat16,none,4.878128528594971,train/longfact_test_apertus/all_auc,0.6500998350497612,apertus,all,auc
psn29j9n,apertus_no_lora_bf16_only_layer26_seed43_lr3em4,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,26,43,3e-4,bfloat16,none,1.7208261489868164,train/longfact_test_apertus/all_auc,0.6579216517009996,apertus,all,auc
lx8g6b8s,apertus_no_lora_bf16_only_layer26_seed43_lr3em5,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,26,43,3e-5,bfloat16,none,12.94149684906006,train/longfact_test_apertus/all_auc,0.5913565324077739,apertus,all,auc
wixkxx9v,apertus_no_lora_bf16_only_layer26_seed44_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,44,1e-3,bfloat16,none,10.250615119934082,train/longfact_test_apertus/all_auc,0.669052008461458,apertus,all,auc
2r4mqan8,apertus_no_lora_bf16_only_layer26_seed44_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,44,1e-4,bfloat16,none,0.0004059617640450597,train/longfact_test_apertus/all_auc,0.6497517060768593,apertus,all,auc
v3h0pfq3,apertus_no_lora_bf16_only_layer26_seed44_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,44,3e-4,bfloat16,none,0.3673836886882782,train/longfact_test_apertus/all_auc,0.6586437134040369,apertus,all,auc
muqajhqb,apertus_no_lora_bf16_only_layer26_seed44_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,44,3e-5,bfloat16,none,7.75074577331543,train/longfact_test_apertus/all_auc,0.592428086011359,apertus,all,auc
imd2hxzj,apertus_no_lora_bf16_only_layer30_seed42_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,30,42,1e-3,bfloat16,none,82.0517578125,train/longfact_test_apertus/all_auc,0.5,apertus,all,auc
g9535ebe,apertus_no_lora_bf16_only_layer30_seed42_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,30,42,1e-4,bfloat16,none,0.033634547144174576,train/longfact_test_apertus/all_auc,0.6385420971876845,apertus,all,auc
j9yucacb,apertus_no_lora_bf16_only_layer30_seed42_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,30,42,3e-4,bfloat16,none,0.025012411177158356,train/longfact_test_apertus/all_auc,0.6642246520998935,apertus,all,auc
4bo3xdzv,apertus_no_lora_bf16_only_layer30_seed42_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,30,42,3e-5,bfloat16,none,33.04824447631836,train/longfact_test_apertus/all_auc,0.5581400319064419,apertus,all,auc
a55rsp1p,apertus_no_lora_bf16_only_layer30_seed43_lr1em3,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,30,43,1e-3,bfloat16,none,9.379252433776855,train/longfact_test_apertus/all_auc,0.636379634137228,apertus,all,auc
5uzjpj1x,apertus_no_lora_bf16_only_layer30_seed43_lr1em4,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,30,43,1e-4,bfloat16,none,6.222002029418945,train/longfact_test_apertus/all_auc,0.6346699887842925,apertus,all,auc
fctlmblr,apertus_no_lora_bf16_only_layer30_seed43_lr3em4,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,30,43,3e-4,bfloat16,none,5.815634250640869,train/longfact_test_apertus/all_auc,0.6530717871766202,apertus,all,auc
580vhzgn,apertus_no_lora_bf16_only_layer30_seed43_lr3em5,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,30,43,3e-5,bfloat16,none,10.316194534301758,train/longfact_test_apertus/all_auc,0.5525288882860903,apertus,all,auc
uns2a6j2,apertus_no_lora_bf16_only_layer30_seed44_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,30,44,1e-3,bfloat16,none,0.0,train/longfact_test_apertus/all_auc,0.5001697706830905,apertus,all,auc
m97ar22y,apertus_no_lora_bf16_only_layer30_seed44_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,30,44,1e-4,bfloat16,none,10.063371658325195,train/longfact_test_apertus/all_auc,0.6322873161998004,apertus,all,auc
hr0vmzt0,apertus_no_lora_bf16_only_layer30_seed44_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,30,44,3e-4,bfloat16,none,6.532261848449707,train/longfact_test_apertus/all_auc,0.6509746468606527,apertus,all,auc
