run_id,run_name,probe_id,state,created_at,train_model,variant,layer,seed,lr,probe_dtype,normalize_before_head,final_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
uw94ef5i,apertus_no_lora_bf16_only_layer20_seed42_lr1em3,apertus_no_lora_bf16_only_layer20_seed42_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,42,1e-3,bfloat16,none,0.006061427295207977,0.7266246832725936,0.20334581009854097,,0.4036332539810941,0.7551431508193684,0.3385107271967591,,0.4195345182240507,0.8464321516166843,0.6151688675937829,,0.5826008564345279,0.718444106737445,0.20804762596929843,,0.3868733768788857,0.7508816638303285,0.3890747065984329,,0.40234516408278903,0.8357897320110488,0.6346525096525096,,0.5638810433626849
ymsrn4r6,apertus_no_lora_bf16_only_layer20_seed42_lr1em4,apertus_no_lora_bf16_only_layer20_seed42_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,42,1e-4,bfloat16,none,0.04400371387600899,0.7180075507745518,0.18807250048723445,,0.3740263942496591,0.7279896751684699,0.3649898566172678,,0.3639956548870964,0.8029235508761362,0.5767245918904687,,0.5016903313049358,0.7101546288559939,0.1840744043827239,,0.35333280868812467,0.7276374571291747,0.40789131932289135,,0.35874714724167783,0.7945408548583182,0.6050842447531777,,0.0
uy0gdnv4,apertus_no_lora_bf16_only_layer20_seed42_lr3em4,apertus_no_lora_bf16_only_layer20_seed42_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,42,3e-4,bfloat16,none,0.00907330308109522,0.7339007410034845,0.2176433400837914,,0.4115145491945362,0.7545329096559957,0.3631422748238996,,0.41703838953474937,0.8473672931248677,0.6102455146364495,,0.571782736082939,0.7250527038711994,0.20822891848852568,,0.3926654599826867,0.751306440623429,0.39669810211424944,,0.4110647674510112,0.8370931864475439,0.6312785388127854,,0.5637149028077754
fu81gp5i,apertus_no_lora_bf16_only_layer20_seed42_lr3em5,apertus_no_lora_bf16_only_layer20_seed42_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,42,3e-5,bfloat16,none,2.1262459754943848,0.6264446004589165,0.12646150799722777,,0.25097649478817574,0.635712703234589,0.25202245780193366,,0.22465158203711835,0.7180889086467801,0.4776366077884516,,0.0,0.6258009030490116,0.1286801226980471,,0.2458802234988589,0.6392908615091916,0.28293010752688175,,0.2266309907924766,0.714656515601048,0.5087278106508876,,0.0
2g6rw2bt,apertus_no_lora_bf16_only_layer20_seed43_lr1em3,apertus_no_lora_bf16_only_layer20_seed43_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,43,1e-3,bfloat16,none,0.5826413631439209,0.7355764801963002,0.2253477105797781,,0.430813321931264,0.7714300323371956,0.4015035500487262,,0.4613677860725264,0.8552404737510404,0.629252090253121,,0.5981519044399369,0.7290309290152253,0.21349123521762667,,0.401196191075785,0.7671743588506915,0.43638064383655406,,0.43487841347288897,0.8436083203076397,0.6448500442228833,,0.5788336933045356
7ynpw2cn,apertus_no_lora_bf16_only_layer20_seed43_lr1em4,apertus_no_lora_bf16_only_layer20_seed43_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,43,1e-4,bfloat16,none,1.368619084358215,0.7199341722545447,0.18745708184785573,,0.3757829292532415,0.7270421610146739,0.3484281567996643,,0.35867982527099174,0.8011298586118486,0.5712740644603072,,0.4726166328600406,0.7115314300436606,0.1819669836210331,,0.3522782718186826,0.7261234491743133,0.38893811929614586,,0.3543401274887857,0.7952708892662561,0.6023224249736088,,0.0
900ivg46,apertus_no_lora_bf16_only_layer20_seed43_lr3em4,apertus_no_lora_bf16_only_layer20_seed43_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,43,3e-4,bfloat16,none,0.40857547521591187,0.7363455037798762,0.22128454968584885,,0.4217764115838861,0.7681648252457483,0.4105337247429229,,0.4499734208519195,0.8560948225808529,0.6334575849994353,,0.60491322965968,0.7292139745701173,0.2145692682328994,,0.4022349885889667,0.7652963624575306,0.4520025143678161,,0.4379475879436531,0.8472779551346723,0.6487632508833923,,0.577172287755441
qo5cb98m,apertus_no_lora_bf16_only_layer20_seed43_lr3em5,apertus_no_lora_bf16_only_layer20_seed43_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,43,3e-5,bfloat16,none,6.096769332885742,0.6281700472685064,0.12788936569182505,,0.2541197679524811,0.6372829772463582,0.25427951746760113,,0.22765618138535143,0.7188380888051653,0.4825298081907724,,0.0,0.6278094295034264,0.13044167920142213,,0.24869756826945777,0.6400163691056588,0.2856355774873939,,0.22862988903753836,0.7153581133616104,0.5103611604499704,,0.0
99kvtmj8,apertus_no_lora_bf16_only_layer20_seed44_lr1em3,apertus_no_lora_bf16_only_layer20_seed44_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,44,1e-3,bfloat16,none,0.13294142484664917,0.7125403346580952,0.20357425481403324,,0.3921233272470936,0.7624380437261291,0.4176842674965328,,0.4349041995053967,0.8476144194170323,0.6215690512210936,,0.581473968897904,0.7159171350680178,0.20021567570217147,,0.38213583064452666,0.7605572307492842,0.45256218492050304,,0.4175651215865271,0.8355650612148999,0.6371077762619373,,0.5637149028077754
g1itgrow,apertus_no_lora_bf16_only_layer20_seed44_lr1em4,apertus_no_lora_bf16_only_layer20_seed44_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,44,1e-4,bfloat16,none,4.639030521502718e-05,0.724560495219876,0.19513727809557255,,0.382092587884531,0.7275257543797358,0.3648363799716645,,0.3653130561397832,0.8001515168021937,0.5754535752401281,,0.4782510705431598,0.7163582894125561,0.18803661168612257,,0.361485795230975,0.7259671809378874,0.4055449850502854,,0.3591563705044464,0.7933901283242729,0.6039332096474954,,0.0
vuc2g8id,apertus_no_lora_bf16_only_layer20_seed44_lr3em4,apertus_no_lora_bf16_only_layer20_seed44_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,44,3e-4,bfloat16,none,0.2754364609718323,0.7283883573904615,0.2147305947102362,,0.4100353618230984,0.7615335836705784,0.4191842645919639,,0.43083643423394274,0.8517712975236658,0.6229719565918126,,0.5846292540004507,0.7261600947913505,0.2079657736579403,,0.3955929802471079,0.7601869589517546,0.4531400858959704,,0.4201306366569607,0.8415157337051271,0.6410432395332876,,0.5630503405881375
v52uwh1g,apertus_no_lora_bf16_only_layer20_seed44_lr3em5,apertus_no_lora_bf16_only_layer20_seed44_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,44,3e-5,bfloat16,none,23.12533187866211,0.6249126445433069,0.12566615401123074,,0.2500751149837058,0.6355517674374815,0.2521394355837026,,0.22479025585319065,0.7182613081388726,0.47951882194337864,,0.0,0.624703383657121,0.12853573756245926,,0.24551821830487133,0.6389796356507107,0.2838807187582468,,0.2268356024238609,0.7149006035805083,0.5110433553952555,,0.0
vz5jn274,apertus_no_lora_bf16_only_layer26_seed42_lr1em3,apertus_no_lora_bf16_only_layer26_seed42_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,42,1e-3,bfloat16,none,0.023973966017365456,0.6630812156812712,0.21111771772500576,,0.3796426838005871,0.667157302489733,0.32316665428337915,,0.38239304781935424,0.811144631716988,0.590685066535239,,0.5562316880775299,0.668974397461338,0.2141098251662152,,0.37813803415440306,0.6780416749988738,0.3765880654475457,,0.3865743291099394,0.8085874844335705,0.6262390670553936,,0.0
4drsxr5u,apertus_no_lora_bf16_only_layer26_seed42_lr1em4,apertus_no_lora_bf16_only_layer26_seed42_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,42,1e-4,bfloat16,none,0.023594362661242485,0.6469086226141515,0.1753754571628667,,0.33076016363510297,0.6687845146808327,0.32356477576584175,,0.33076016363510297,0.779189480394776,0.5692324347731947,,0.0,0.6508720334495444,0.1805260225373253,,0.32892106712835445,0.6786283077887133,0.37223915592028134,,0.3364759581333123,0.7771276039116748,0.5917591607115706,,0.0
1crms08u,apertus_no_lora_bf16_only_layer26_seed42_lr3em4,apertus_no_lora_bf16_only_layer26_seed42_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,42,3e-4,bfloat16,none,0.006822563707828522,0.6624800218683247,0.18795506662862335,,0.36029768645850185,0.7124790677536128,0.32484658094681473,,0.3682945431853375,0.8208142362612516,0.5936355311355311,,0.5384268649988732,0.6690879765274692,0.19049804357277425,,0.35627606830880615,0.7238639216531215,0.37411948865118705,,0.3725348233257259,0.8121703499894594,0.6175143879296936,,0.5233427479647782
